Year of Birth,Gender,Rank
2011,FEMALE,75
2011,FEMALE,67
2011,FEMALE,42
2011,FEMALE,51
2011,FEMALE,53
2011,FEMALE,62
2011,FEMALE,8
2011,FEMALE,74
2011,FEMALE,71
2011,FEMALE,71
2011,FEMALE,75
2011,FEMALE,78
2011,FEMALE,73
2011,FEMALE,73
2011,FEMALE,72
2011,FEMALE,75
2011,FEMALE,77
2011,FEMALE,77
2011,FEMALE,77
2011,FEMALE,78
2011,FEMALE,60
2011,FEMALE,78
2011,FEMALE,1
2011,FEMALE,70
2011,FEMALE,75
2011,FEMALE,61
2011,FEMALE,65
2011,FEMALE,58
2011,FEMALE,67
2011,FEMALE,41
2011,FEMALE,77
2011,FEMALE,77
2011,FEMALE,76
2011,FEMALE,77
2011,FEMALE,68
2011,FEMALE,48
2011,FEMALE,78
2011,FEMALE,55
2011,FEMALE,76
2011,FEMALE,40
2011,FEMALE,66
2011,FEMALE,75
2011,FEMALE,78
2011,FEMALE,72
2011,FEMALE,64
2011,FEMALE,74
2011,FEMALE,34
2011,FEMALE,44
2011,FEMALE,77
2011,FEMALE,44
2011,FEMALE,76
2011,FEMALE,58
2011,FEMALE,66
2011,FEMALE,72
2011,FEMALE,67
2011,FEMALE,68
2011,FEMALE,73
2011,FEMALE,72
2011,FEMALE,77
2011,FEMALE,68
2011,FEMALE,77
2011,FEMALE,57
2011,FEMALE,53
2011,FEMALE,48
2011,FEMALE,63
2011,FEMALE,61
2011,FEMALE,65
2011,FEMALE,78
2011,FEMALE,33
2011,FEMALE,76
2011,FEMALE,31
2011,FEMALE,20
2011,FEMALE,69
2011,FEMALE,78
2011,FEMALE,73
2011,FEMALE,76
2011,FEMALE,71
2011,FEMALE,48
2011,FEMALE,76
2011,FEMALE,35
2011,FEMALE,53
2011,FEMALE,13
2011,FEMALE,75
2011,FEMALE,78
2011,FEMALE,52
2011,FEMALE,59
2011,FEMALE,74
2011,FEMALE,67
2011,FEMALE,39
